title,category
Category:Administrative software,Business_Software
Category:Business simulation games,Business_Software
Category:Business software companies,Business_Software
Category:Business software for Linux,Business_Software
Category:Business software for MacOS,Business_Software
Category:Business software for Windows,Business_Software
Category:Collaborative software,Business_Software
Category:Dental practice management software,Business_Software
Category:Enterprise software,Business_Software
Category:ERP software,Business_Software
Category:Financial software,Business_Software
Category:Free business software,Business_Software
Category:Health software,Business_Software
Category:Healthcare software,Business_Software
Category:Human resource management software,Business_Software
Category:Java enterprise platform,Business_Software
Category:Manufacturing software,Business_Software
Category:Marketing software,Business_Software
Category:MES software,Business_Software
Category:Mobile business software,Business_Software
Category:Office software,Business_Software
Category:Portal software,Business_Software
Category:Project management software,Business_Software
Category:Publishing software,Business_Software
Category:Reporting software,Business_Software
Category:Risk management software,Business_Software
Category:Service-oriented architecture-related products,Business_Software
Category:Tax software,Business_Software
Category:Telecommunications Billing Systems,Business_Software
Category:Workflow technology,Business_Software
Category:Industry-specific XML-based standards,Business_Software
Category:Business software stubs,Business_Software
Category:School-administration software,Business_Software
Category:Time-tracking software,Business_Software
Category:Amusement park simulation games,Business_Software
Category:M.U.L.E.,Business_Software
Category:Roller coaster games and simulations,Business_Software
Category:Sports management video games,Business_Software
Category:Trade simulation games,Business_Software
Category:Transport Tycoon,Business_Software
Category:Zoo Tycoon,Business_Software
Category:Financial software companies,Business_Software
Category:Accounting software for Linux,Business_Software
Category:Enterprise resource planning software for Linux,Business_Software
Category:Healthcare software for Linux,Business_Software
Category:Office suites for Linux,Business_Software
Category:CRM-software for MacOS,Business_Software
Category:Healthcare software for MacOS,Business_Software
Category:Healthcare software for Windows,Business_Software
Category:Collaborative software for Linux,Business_Software
Category:Groupware,Business_Software
Category:Free groupware,Business_Software
Category:Collaborative real-time editors,Business_Software
Category:Wiki software,Business_Software
Category:Free ERP software,Business_Software
Category:Enterprise application integration,Business_Software
Category:ERP software companies,Business_Software
Category:Microsoft Dynamics,Business_Software
Category:Supply chain software companies,Business_Software
Category:Enterprise resource planning terminology,Business_Software
Category:Accounting software,Business_Software
Category:Computer-aided audit tools,Business_Software
Category:Cost analysis software,Business_Software
Category:Financial markets software,Business_Software
Category:Free finance software,Business_Software
Category:Investment club software,Business_Software
Category:Microfinance software,Business_Software
Category:Free accounting software,Business_Software
Category:Free customer relationship management software,Business_Software
Category:Free e-commerce software,Business_Software
Category:Free content management systems,Business_Software
Category:Free static website generators,Business_Software
Category:Free office software,Business_Software
Category:Free project management software,Business_Software
Category:Free reporting software,Business_Software
Category:Behavioral experimentation software,Business_Software
Category:Disability software,Business_Software
Category:Health video games,Business_Software
Category:Healthcare software,Business_Software
Category:Public health and biosurveillance software,Business_Software
Category:Repetitive strain injury software,Business_Software
Category:Dental software,Business_Software
Category:DICOM software,Business_Software
Category:Electronic health record software,Business_Software
Category:Electronic health records,Business_Software
Category:Free healthcare software,Business_Software
Category:Medical software,Business_Software
Category:MUMPS programming language family,Business_Software
Category:Automatic Data Processing,Business_Software
Category:Free human resource management software,Business_Software
Category:JavaServer Faces,Business_Software
Category:Customer relationship management software,Business_Software
Category:Mobile sales enablement systems,Business_Software
Category:Search engine software,Business_Software
Category:Content management systems,Business_Software
Category:Email clients,Business_Software
Category:Office document file formats,Business_Software
Category:Office suites,Business_Software
Category:Presentation software,Business_Software
Category:Spreadsheet software,Business_Software
Category:Typing software,Business_Software
Category:Word processors,Business_Software
Category:GitHub,Business_Software
Category:Mind-mapping software,Business_Software
Category:Project hosting websites,Business_Software
Category:Task management software,Business_Software
Category:Desktop publishing software,Business_Software
Category:Workflow software,Business_Software
Category:Word processor stubs,Business_Software
Category:Association football management video games,Business_Software
Category:Sports management MMORPGs,Business_Software
Category:Sports Mogul,Business_Software
Category:Space trading and combat simulators,Business_Software
Category:Banking software companies,Business_Software
Category:Calligra Suite,Business_Software
Category:LibreOffice,Business_Software
Category:OpenOffice,Business_Software
Category:Collaborative real-time editors,Business_Software
Category:Free groupware,Business_Software
Category:Instant messaging clients,Business_Software
Category:Usenet clients,Business_Software
Category:Free instant messaging clients,Business_Software
Category:Free wiki software,Business_Software
Category:Free Usenet clients,Business_Software
Category:Personal wikis,Business_Software
Category:Proprietary wiki software,Business_Software
Category:Semantic wiki software,Business_Software
Category:IBM WebSphere,Business_Software
Category:Message-oriented middleware,Business_Software
Category:SAP NetWeaver,Business_Software
Category:Sage Group,Business_Software
Category:Accounting software for Linux,Business_Software
Category:ASP Accounting Systems,Business_Software
Category:Free accounting software,Business_Software
Category:Electronic trading platforms,Business_Software
Category:Electronic trading systems,Business_Software
Category:Society for Worldwide Interbank Financial Telecommunication,Business_Software
Category:Technical analysis software,Business_Software
Category:Free Internet forum software,Business_Software
Category:Joomla extensions,Business_Software
Category:TYPO3,Business_Software
Category:WordPress,Business_Software
Category:Open-source office suites,Business_Software
Category:Free presentation software,Business_Software
Category:Free spreadsheet software,Business_Software
Category:Free word processors,Business_Software
Category:Speech synthesis software,Business_Software
Category:Brain fitness video games,Business_Software
Category:Exergames,Business_Software
Category:Medical video games,Business_Software
Category:Dental software,Business_Software
Category:DICOM software,Business_Software
Category:Electronic health record software,Business_Software
Category:Electronic health records,Business_Software
Category:Free healthcare software,Business_Software
Category:Healthcare software for Linux,Business_Software
Category:Healthcare software for MacOS,Business_Software
Category:Healthcare software for Windows,Business_Software
Category:Medical software,Business_Software
Category:MUMPS programming language family,Business_Software
Category:Dental practice management software,Business_Software
Category:Free DICOM software,Business_Software
Category:Standards for electronic health records,Business_Software
Category:Free bioimaging software,Business_Software
Category:Free medical software,Business_Software
Category:Bioimaging software,Business_Software
Category:Biomedical software,Business_Software
Category:Medical expert systems,Business_Software
Category:Medical simulation,Business_Software
Category:MUMPS programming language,Business_Software
Category:Account aggregation providers,Business_Software
Category:CRM software companies,Business_Software
Category:CRM-software for MacOS,Business_Software
Category:Customer communications management,Business_Software
Category:Free customer relationship management software,Business_Software
Category:Help desk software,Business_Software
Category:Microsoft Dynamics,Business_Software
Category:Free search engine software,Business_Software
Category:Desktop search engines,Business_Software
Category:Internet search engines,Business_Software
Category:Recommender systems,Business_Software
Category:Abstract management software,Business_Software
Category:Blog software,Business_Software
Category:Collaborative software,Business_Software
Category:Document management systems,Business_Software
Category:Free content management systems,Business_Software
Category:Publication management software,Business_Software
Category:Records management,Business_Software
Category:Static website generators,Business_Software
Category:Version control systems,Business_Software
Category:Video hosting software,Business_Software
Category:Widget management systems,Business_Software
Category:Wiki software,Business_Software
Category:Zope,Business_Software
Category:Content management system stubs,Business_Software
Category:Classic Mac OS email clients,Business_Software
Category:Email devices,Business_Software
Category:Free email software,Business_Software
Category:Gmail,Business_Software
Category:Email client software for Linux,Business_Software
Category:MacOS email clients,Business_Software
Category:Offline mail readers,Business_Software
Category:Webmail,Business_Software
Category:Windows email clients,Business_Software
Category:DocBook,Business_Software
Category:HTML,Business_Software
Category:Office Open XML,Business_Software
Category:OpenDocument,Business_Software
Category:Spreadsheet file formats,Business_Software
Category:TeX,Business_Software
Category:Lotus SmartSuite,Business_Software
Category:Microsoft Office-related software,Business_Software
Category:Microsoft Office,Business_Software
Category:Office suites for Linux,Business_Software
Category:Office suites for macOS,Business_Software
Category:Office suites for Windows,Business_Software
Category:Online office suites,Business_Software
Category:Presentation software for MacOS,Business_Software
Category:Presentation software for Windows,Business_Software
Category:Online spreadsheets,Business_Software
Category:Spreadsheet software for macOS,Business_Software
Category:Spreadsheet software for Windows,Business_Software
Category:Typing video games,Business_Software
Category:Apple II word processors,Business_Software
Category:Classic Mac OS word processors,Business_Software
Category:DOS word processors,Business_Software
Category:Linux word processors,Business_Software
Category:MacOS word processors,Business_Software
Category:Online word processors,Business_Software
Category:Windows word processors,Business_Software
Category:Word processor comparisons,Business_Software
Category:Word processor stubs,Business_Software
Category:Concept- and mind-mapping software for Linux,Business_Software
Category:Concept- and mind-mapping software programmed in Java,Business_Software
Category:Open-source software hosting facilities,Business_Software
Category:Bug and issue tracking software,Business_Software
Category:Free task management software,Business_Software
Category:Desktop publishing software for Linux,Business_Software
Category:DTP for MacOS,Business_Software
Category:DTP for Windows,Business_Software
Category:Free desktop publishing software,Business_Software
Category:Applied machine learning,Machine_Learning
Category:Artificial neural networks,Machine_Learning
Category:Bayesian networks,Machine_Learning
Category:Classification algorithms,Machine_Learning
Category:Cluster analysis,Machine_Learning
Category:Computational learning theory,Machine_Learning
Category:Artificial intelligence conferences,Machine_Learning
Category:Data mining and machine learning software,Machine_Learning
Category:Datasets in machine learning,Machine_Learning
Category:Dimension reduction,Machine_Learning
Category:Ensemble learning,Machine_Learning
Category:Evolutionary algorithms,Machine_Learning
Category:Genetic programming,Machine_Learning
Category:Inductive logic programming,Machine_Learning
Category:Kernel methods for machine learning,Machine_Learning
Category:Latent variable models,Machine_Learning
Category:Learning in computer vision,Machine_Learning
Category:Log-linear models,Machine_Learning
Category:Loss functions,Machine_Learning
Category:Machine learning algorithms,Machine_Learning
Category:Machine learning portal,Machine_Learning
Category:Machine learning task,Machine_Learning
Category:Markov models,Machine_Learning
Category:Machine learning researchers,Machine_Learning
Category:Semisupervised learning,Machine_Learning
Category:Statistical natural language processing,Machine_Learning
Category:Structured prediction,Machine_Learning
Category:Supervised learning,Machine_Learning
Category:Support vector machines,Machine_Learning
Category:Unsupervised learning,Machine_Learning
